frame no,angles,var,frame density,filament median length,filament mediam intensity per length,name
0,68.30650084076882,0.2896301000260886,0.0457,319.07315985291825,108.03894807624968,in silico time
1,65.45199262121012,0.2831577209186489,0.047448,252.37672297324724,103.96703529820888,in silico time
2,64.10742802158535,0.29565159741002645,0.047368,256.30003589374974,94.6261060264182,in silico time
3,68.76543014658445,0.2959451237169979,0.046052,320.13203435596404,106.90080497790042,in silico time
4,65.70480541226524,0.35480969970441234,0.047228,250.88488063519716,89.4875640398462,in silico time
5,68.31709856691674,0.28431003212750505,0.051456,203.58073580374355,100.3625743521586,in silico time
